TYPE,CATEGORY,NAME,LATITUDE,LONGITUDE,ADDRESS,CITY,STATE,ZIP,COUNTY,desc,STRATEGIC VALUE,ECONOMIC IMPACT,PHYSICAL IMPACT,SYSTEMIC IMPACT,PHYSICAL IMPACT RADIUS (mi),ZIPS AFFECTED,OCCUPIED HOUSING UNITS,POPULATION AFFECTED,RAW_IMPACT
Substation,Electricity Generation,Unknown304307,32.6850929,-94.5797664,No address available,Harleton,TX,75651,Harrison County,This electricity substation services the city of Harleton and Harrison County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304308,28.84592231,-99.19058259,No address available,Derby,TX,78061,Frio County,This electricity substation services the city of Derby and Frio County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304309,32.8957749,-98.77905571,No address available,Ivan,TX,76424,Stephens County,This electricity substation services the city of Ivan and Stephens County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304310,34.748656,-101.6175079,No address available,Happy,TX,79042,Swisher County,This electricity substation services the city of Happy and Armstrong County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304311,31.95059972,-100.597183,No address available,Robert Lee,TX,76945,Coke County,This electricity substation services the city of Robert Lee and Coke County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304313,30.72603001,-96.44822107,No address available,Lake Bryan,TX,77807,Brazos County,This electricity substation services the city of Lake Bryan and Brazos County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Lewisville Switch,33.0660247,-97.00970987,No address available,Lewisville,TX,75057,Denton County,This electricity substation services the city of Lewisville and Denton County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75057],[4846],16855,1
Substation,Electricity Generation,Mcqueeney,29.58854233,-98.04960389,No address available,Mcqueeney,TX,78155,Guadalupe County,This electricity substation services the city of Mcqueeney and Guadalupe County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78123],[933],2528,1
Substation,Electricity Generation,New Berlin,29.4876109,-98.04395557,No address available,New Berlin,TX,78155,Guadalupe County,This electricity substation services the city of New Berlin and Guadalupe County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304317,32.53956522,-96.31407834,No address available,Oak Grove,TX,75142,Kaufman County,This electricity substation services the city of Oak Grove and Kaufman County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304318,32.62210738,-94.15241016,No address available,Karnack,TX,75661,Harrison County,This electricity substation services the city of Karnack and Harrison County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75661],[1235],2482,1
Substation,Electricity Generation,Unknown304319,33.88686362,-98.4314692,No address available,Wichita Falls,TX,76305,Wichita County,This electricity substation services the city of Wichita Falls and Wichita County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304320,26.20660919,-98.39778466,No address available,Mission,TX,78572,Hidalgo County,This electricity substation services the city of Mission and Hidalgo County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Magnolia Park,29.74371288,-95.31093971,No address available,Houston,TX,77011,Harris County,This electricity substation services the city of Houston and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77011, 77023, 77020, 77003]","[5940, 9129, 7899, 3894]",80980,1
Substation,Electricity Generation,Unknown304322,32.27108861,-101.4217557,No address available,Big Spring,TX,79720,Howard County,This electricity substation services the city of Big Spring and Howard County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304323,29.66107491,-97.50456407,No address available,Harwood,TX,78632,Gonzales County,This electricity substation services the city of Harwood and Gonzales County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78632],[376],1350,1
Substation,Electricity Generation,Unknown304325,32.29933507,-100.1153217,No address available,Blair,TX,79536,Taylor County,This electricity substation services the city of Blair and Taylor County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304326,31.73333679,-101.7994476,No address available,Midland,TX,79706,Midland County,This electricity substation services the city of Midland and Midland County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304327,29.96438605,-95.38299661,No address available,Aldine,TX,77032,Harris County,This electricity substation services the city of Aldine and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77060],[13035],47349,1
Substation,Electricity Generation,North Alvin,29.45906001,-95.25754696,No address available,Alvin,TX,77511,Brazoria County,This electricity substation services the city of Alvin and Brazoria County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77511],[16235],49600,1
Substation,Electricity Generation,Unknown304332,26.20823427,-98.05777459,No address available,Donna,TX,78537,Hidalgo County,This electricity substation services the city of Donna and Hidalgo County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304333,29.69751613,-97.65432074,No address available,Luling,TX,78648,Caldwell County,This electricity substation services the city of Luling and Caldwell County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78648],[2756],7803,1
Substation,Electricity Generation,Unknown304334,32.73106557,-98.70201886,No address available,Caddo,TX,76429,Stephens County,This electricity substation services the city of Caddo and Stephens County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Union-Texas,33.03595983,-102.3568946,No address available,Brownfield,TX,79316,Terry County,This electricity substation services the city of Brownfield and Terry County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304337,29.32394057,-100.3919968,No address available,Brackettville,TX,78832,Kinney County,This electricity substation services the city of Brackettville and Kinney County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78832],[1350],3199,1
Substation,Electricity Generation,Unknown304339,28.86684616,-100.550531,No address available,Normandy,TX,78852,Maverick County,This electricity substation services the city of Normandy and Maverick County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304341,30.65672967,-96.33732253,No address available,Bryan,TX,77802,Brazos County,This electricity substation services the city of Bryan and Brazos County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77802, 77801]","[10066, 6385]",39156,1
Substation,Electricity Generation,Unknown304343,31.19387836,-94.79556125,No address available,Diboll,TX,75941,Angelina County,This electricity substation services the city of Diboll and Angelina County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75941],[2646],8470,1
Substation,Electricity Generation,Unknown304344,32.29629377,-97.79000046,No address available,Glen Rose,TX,76043,Somervell County,This electricity substation services the city of Glen Rose and Somervell County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304345,33.00161766,-94.95868629,No address available,Pittsburg,TX,75686,Camp County,This electricity substation services the city of Pittsburg and Camp County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75686],[4923],13396,1
Substation,Electricity Generation,Unknown304349,33.09938432,-97.86535135,No address available,Bridgeport,TX,76426,Wise County,This electricity substation services the city of Bridgeport and Wise County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Gray,35.40751479,-100.8198398,No address available,Lefors,TX,79065,Gray County,This electricity substation services the city of Lefors and Gray County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304351,31.50847725,-95.45839372,No address available,Grapeland,TX,75844,Houston County,This electricity substation services the city of Grapeland and Houston County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75844],[2422],4622,1
Substation,Electricity Generation,Temple Switching,31.079077,-97.30778036,No address available,Temple,TX,76501,Bell County,This electricity substation services the city of Temple and Bell County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Buckeye,29.49368256,-98.52459224,No address available,San Antonio,TX,78213,Bexar County,This electricity substation services the city of San Antonio and Bexar County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78201, 78213]","[16498, 16126]",88534,1
Substation,Electricity Generation,Rosenberg,29.55997079,-95.80854311,No address available,Rosenberg,TX,77471,Fort Bend County,This electricity substation services the city of Rosenberg and Fort Bend County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77471],[11600],41723,1
Substation,Electricity Generation,Chief Brady,30.591816,-97.69594857,No address available,Georgetown,TX,78628,Williamson County,This electricity substation services the city of Georgetown and Williamson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Windmill,34.77352548,-102.3045613,No address available,Joel,TX,79045,Deaf Smith County,This electricity substation services the city of Joel and Deaf Smith County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Arco Bp-Willard,33.02649656,-102.8286785,No address available,Denver City,TX,79355,Yoakum County,This electricity substation services the city of Denver City and Yoakum County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304359,31.96397429,-96.51831215,No address available,Corbet,TX,75110,Navarro County,This electricity substation services the city of Corbet and Navarro County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304360,30.86186679,-96.60725618,No address available,Hearne,TX,77859,Robertson County,This electricity substation services the city of Hearne and Robertson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77859],[2621],7368,1
Substation,Electricity Generation,Unknown304363,33.18771278,-96.0201793,No address available,Neylandville,TX,75401,Hunt County,This electricity substation services the city of Neylandville and Hunt County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Carrollton-Josey Lane,32.9774368,-96.88905398,No address available,Carrollton,TX,75006,Dallas County,This electricity substation services the city of Carrollton and Dallas County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[75006, 75007]","[16631, 18514]",102552,1
Substation,Electricity Generation,Wells Branch,30.44614147,-97.6890516,No address available,Wells Branch,TX,78728,Travis County,This electricity substation services the city of Wells Branch and Travis County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78728, 78727]","[9607, 12374]",55350,1
Substation,Electricity Generation,Unknown304368,28.78427076,-95.93865874,No address available,Wadsworth,TX,77414,Matagorda County,This electricity substation services the city of Wadsworth and Matagorda County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Riley,32.72607597,-102.7865039,No address available,Seminole,TX,79360,Gaines County,This electricity substation services the city of Seminole and Gaines County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304370,29.36619603,-94.96669898,No address available,La Marque,TX,77568,Galveston County,This electricity substation services the city of La Marque and Galveston County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77568],[5418],19819,1
Substation,Electricity Generation,Unknown304371,33.54696731,-97.03621755,No address available,Woodbine,TX,76240,Cooke County,This electricity substation services the city of Woodbine and Cooke County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304372,27.80572819,-97.57148804,No address available,Corpus Christi,TX,78410,Nueces County,This electricity substation services the city of Corpus Christi and Nueces County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Adams Bayou,30.05983994,-93.7516059,No address available,West Orange,TX,77630,Orange County,This electricity substation services the city of West Orange and Orange County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304380,33.6146221,-96.62642987,No address available,Sherman,TX,75092,Grayson County,This electricity substation services the city of Sherman and Grayson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75090],[8190],24866,1
Substation,Electricity Generation,Unknown304381,27.81143428,-97.44441879,No address available,Corpus Christi,TX,78407,Nueces County,This electricity substation services the city of Corpus Christi and Nueces County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78407, 78408]","[1041, 4177]",12327,1
Substation,Electricity Generation,Unknown304383,31.99459599,-102.5491228,No address available,North Cowden,TX,79741,Ector County,This electricity substation services the city of North Cowden and Ector County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Cedarlake,32.85676758,-102.2446844,No address available,Seagraves,TX,79359,Gaines County,This electricity substation services the city of Seagraves and Gaines County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304387,30.74815661,-99.18530559,No address available,Mason,TX,76856,Mason County,This electricity substation services the city of Mason and Mason County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304388,33.9978642,-98.55385028,No address available,Cashion Community,TX,76305,Wichita County,This electricity substation services the city of Cashion Community and Wichita County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,South Batesville,28.92079229,-99.60625675,No address available,Batesville,TX,78829,Zavala County,This electricity substation services the city of Batesville and Zavala County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[78829],[382],1090,1
Substation,Electricity Generation,Unknown304392,30.15060771,-96.39454111,No address available,Brenham,TX,77833,Washington County,This electricity substation services the city of Brenham and Washington County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77833],[10421],28417,1
Substation,Electricity Generation,Barnham,30.98988367,-101.0781903,No address available,Ozona,TX,76943,Crockett County,This electricity substation services the city of Ozona and Crockett County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Sam Dam,31.05921889,-94.10482227,No address available,Curtis,TX,75951,Jasper County,This electricity substation services the city of Curtis and Jasper County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304398,27.69218433,-99.47749254,No address available,Laredo,TX,78045,Webb County,This electricity substation services the city of Laredo and Webb County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304400,28.93129955,-99.09173333,No address available,North Pearsall,TX,78061,Frio County,This electricity substation services the city of North Pearsall and Frio County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304401,32.870502,-97.5978967,No address available,Azle,TX,76020,Tarrant County,This electricity substation services the city of Azle and Parker County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304405,32.20488578,-94.80095315,No address available,Henderson,TX,75652,Rusk County,This electricity substation services the city of Henderson and Rusk County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304406,31.41457872,-97.70868841,No address available,Gatesville,TX,76528,Coryell County,This electricity substation services the city of Gatesville and Coryell County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76528],[6014],19355,1
Substation,Electricity Generation,Spinninng Spur I,35.28301036,-102.4346919,No address available,Vega,TX,79092,Oldham County,This electricity substation services the city of Vega and Oldham County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Lake Hubbard Ses,32.83735496,-96.54859538,No address available,Dallas,TX,75043,Dallas County,This electricity substation services the city of Dallas and Dallas County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75043],[21137],64845,1
Substation,Electricity Generation,Teasley,33.14491559,-97.10837606,No address available,Denton,TX,76210,Denton County,This electricity substation services the city of Denton and Denton County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304413,33.75039884,-100.99155,No address available,Mcadoo,TX,79243,Dickens County,This electricity substation services the city of Mcadoo and Dickens County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79243],[39],19,1
Substation,Electricity Generation,Phillips Pump #1,33.00769821,-102.9744441,No address available,Denver City,TX,79323,Yoakum County,This electricity substation services the city of Denver City and Yoakum County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304417,30.95134184,-96.5759297,No address available,Hearne,TX,77859,Robertson County,This electricity substation services the city of Hearne and Robertson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Port Acres Bulk,29.88717246,-93.99878869,No address available,Port Arthur,TX,77640,Jefferson County,This electricity substation services the city of Port Arthur and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Jaybee,32.964542,-102.6901781,No address available,Denver City,TX,79323,Yoakum County,This electricity substation services the city of Denver City and Yoakum County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304420,29.26379532,-95.90051769,No address available,Boling,TX,77420,Wharton County,This electricity substation services the city of Boling and Wharton County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304421,29.81503512,-95.10924996,No address available,Channelview,TX,77530,Harris County,This electricity substation services the city of Channelview and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77530],[9015],30880,1
Substation,Electricity Generation,Unknown304423,35.71216155,-101.3575706,No address available,Borger,TX,79007,Hutchinson County,This electricity substation services the city of Borger and Hutchinson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304424,32.87569228,-97.30785162,No address available,Fort Worth,TX,76137,Tarrant County,This electricity substation services the city of Fort Worth and Tarrant County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[76137, 76131]","[19755, 8926]",106842,1
Substation,Electricity Generation,Unknown304425,33.70811487,-102.3374443,No address available,Whitharral,TX,79336,Hockley County,This electricity substation services the city of Whitharral and Hockley County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304426,32.49025277,-95.40554788,No address available,Lindale,TX,75771,Smith County,This electricity substation services the city of Lindale and Smith County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75771],[6807],21260,1
Substation,Electricity Generation,Taylor West,30.55701116,-97.48646264,No address available,Hutto,TX,76574,Williamson County,This electricity substation services the city of Hutto and Williamson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304428,33.14047615,-98.12201852,No address available,Perrin,TX,76486,Jack County,This electricity substation services the city of Perrin and Jack County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Five Points,29.43726074,-98.50672349,No address available,San Antonio,TX,78207,Bexar County,This electricity substation services the city of San Antonio and Bexar County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[78206, 78212, 78241, 78284, 78285, 78205, 78262, 78215, 78207]","[None, 11544, None, None, None, 937, None, 573, 15851]",82754,1
Substation,Electricity Generation,Unknown304433,33.88649831,-98.42937841,No address available,Wichita Falls,TX,76305,Wichita County,This electricity substation services the city of Wichita Falls and Wichita County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Ltg-Seagrav,32.9637255,-102.6580183,No address available,Seagraves,TX,79323,Yoakum County,This electricity substation services the city of Seagraves and Yoakum County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Northwest Carrollton,32.98446138,-96.93850212,No address available,Carrollton,TX,75006,Dallas County,This electricity substation services the city of Carrollton and Dallas County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304441,32.43489255,-99.63922553,No address available,Abilene,TX,79601,Taylor County,This electricity substation services the city of Abilene and Taylor County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304442,30.01002101,-94.0284957,No address available,Central Gardens,TX,77627,Jefferson County,This electricity substation services the city of Central Gardens and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304443,32.12785308,-96.10264835,No address available,Trinidad,TX,75163,Henderson County,This electricity substation services the city of Trinidad and Henderson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[75163],[1033],2450,1
Substation,Electricity Generation,Channelview,29.77561109,-95.15092752,No address available,Channelview,TX,77530,Harris County,This electricity substation services the city of Channelview and Harris County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,"[77015, 77530]","[16440, 9015]",89156,1
Substation,Electricity Generation,Unknown304447,30.33858089,-96.52179612,No address available,Somerville,TX,77879,Burleson County,This electricity substation services the city of Somerville and Burleson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77879],[2007],5162,1
Substation,Electricity Generation,Irick,34.07458669,-101.5089545,No address available,Lockney,TX,79241,Floyd County,This electricity substation services the city of Lockney and Floyd County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Loop 337,29.70224782,-98.15993774,No address available,New Braunfels,TX,78130,Comal County,This electricity substation services the city of New Braunfels and Comal County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304452,34.54191117,-102.3194374,No address available,Dimmitt,TX,79027,Castro County,This electricity substation services the city of Dimmitt and Castro County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79027],[1770],4667,1
Substation,Electricity Generation,Helbig,30.15624897,-94.15723142,No address available,Beaumont,TX,77708,Jefferson County,This electricity substation services the city of Beaumont and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[77708],[4484],12979,1
Substation,Electricity Generation,Unknown304454,32.51150364,-96.97184868,No address available,Midlothian,TX,76065,Ellis County,This electricity substation services the city of Midlothian and Ellis County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76065],[9744],40814,1
Substation,Electricity Generation,Wolfcamp,31.18466917,-103.0353473,No address available,Coyanosa,TX,79730,Pecos County,This electricity substation services the city of Coyanosa and Pecos County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304456,31.84831845,-102.3537536,No address available,Odessa,TX,79761,Ector County,This electricity substation services the city of Odessa and Ector County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79761],[11175],31566,1
Substation,Electricity Generation,Unknown304458,28.69526414,-98.53998663,No address available,Christine,TX,78026,Atascosa County,This electricity substation services the city of Christine and Atascosa County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304459,33.37219581,-98.52238146,No address available,Loving,TX,76374,Young County,This electricity substation services the city of Loving and Young County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304460,30.16407139,-93.88198973,No address available,Orange,TX,77632,Orange County,This electricity substation services the city of Orange and Orange County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,R.D. Wells Interchange,33.20880608,-97.18137613,No address available,Denton,TX,76207,Denton County,This electricity substation services the city of Denton and Denton County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[76207],[4356],15961,1
Substation,Electricity Generation,Unknown304462,32.39225324,-100.8414654,No address available,Colorado City,TX,79512,Mitchell County,This electricity substation services the city of Colorado City and Mitchell County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,[79512],[2337],7758,1
Substation,Electricity Generation,Unknown304463,29.89514506,-94.22516885,No address available,Fannett,TX,77705,Jefferson County,This electricity substation services the city of Fannett and Jefferson County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
Substation,Electricity Generation,Unknown304466,34.249244,-101.690937,No address available,Plainview,TX,79072,Hale County,This electricity substation services the city of Plainview and Hale County. Substations are a critical intermediate component of the electric grid that transform voltage prior to transmission to the end user.,0,1,1,0,2.5,,,,1
